Pixel	Blue	Green	Red	***	BGR	BGR_Norm	***	Coord	Angstrom	BW	BW_Norm
2227	34.91	44.57	3407.35	***	3486.83	17.43	***	2121	6426.63	4819	24.09
2228	36.09	33.76	3391.4	***	3461.25	17.31	***	2122	6429.66	4786	23.93
2229	38.86	47.4	3383.13	***	3469.39	17.35	***	2123	6432.69	4785	23.93
2230	37.86	38.83	3372.31	***	3449.0	17.25	***	2124	6435.72	4761	23.8
2231	41.3	45.97	3365.22	***	3452.49	17.26	***	2125	6438.75	4760	23.8
2232	41.57	38.81	3361.84	***	3442.22	17.21	***	2126	6441.78	4749	23.75
2233	42.95	45.24	3346.93	***	3435.12	17.18	***	2127	6444.81	4729	23.64
2234	34.27	38.04	3298.09	***	3370.4	16.85	***	2128	6447.84	4648	23.24
2235	34.19	43.14	3267.47	***	3344.8	16.72	***	2129	6450.87	4610	23.05
2236	38.58	33.08	3250.94	***	3322.6	16.61	***	2130	6453.9	4581	22.91
2237	38.85	31.63	3227.39	***	3297.87	16.49	***	2131	6456.93	4548	22.74
2238	39.09	48.11	3188.58	***	3275.78	16.38	***	2132	6459.96	4505	22.52
2239	31.58	38.1	3155.56	***	3225.24	16.13	***	2133	6462.99	4440	22.2
2240	26.35	43.12	3138.08	***	3207.55	16.04	***	2134	6466.02	4401	22.0
2241	27.73	49.59	3126.99	***	3204.31	16.02	***	2135	6469.05	4395	21.98
2242	30.47	53.91	3120.85	***	3205.23	16.03	***	2136	6472.08	4404	22.02
2243	33.97	56.75	3130.82	***	3221.54	16.11	***	2137	6475.11	4425	22.13
2244	36.5	51.71	3116.19	***	3204.4	16.02	***	2138	6478.14	4413	22.07
2245	31.58	53.17	3084.27	***	3169.02	15.85	***	2139	6481.17	4352	21.76
2246	33.94	49.58	3073.46	***	3156.98	15.78	***	2140	6484.2	4327	21.64
2247	40.4	43.14	3093.46	***	3177.0	15.88	***	2141	6487.23	4359	21.8
2248	42.07	53.86	3084.31	***	3180.24	15.9	***	2142	6490.26	4359	21.8
2249	43.93	61.77	3089.09	***	3194.79	15.97	***	2143	6493.29	4376	21.88
2250	36.21	69.57	3068.16	***	3173.94	15.87	***	2144	6496.32	4347	21.73
2251	42.83	126.75	3079.29	***	3248.87	16.24	***	2145	6499.35	4412	22.06
2252	54.08	166.11	3118.72	***	3338.91	16.69	***	2146	6502.38	4517	22.59
